date,county,fips,place,confirmed_cases,note,x,y,population,UPDATED_ON
12/18/2020 0:00:00,Pasadena,,91105: Pasadena,366,,-118.167933,34.139851,11907,1/10/2021 18:19:43
12/17/2020 0:00:00,Pasadena,,91105: Pasadena,361,,-118.167933,34.139851,11907,1/10/2021 18:19:43
12/16/2020 0:00:00,Pasadena,,91105: Pasadena,355,,-118.167933,34.139851,11907,1/10/2021 18:19:43
12/15/2020 0:00:00,Pasadena,,91105: Pasadena,348,,-118.167933,34.139851,11907,1/10/2021 18:19:43
12/14/2020 0:00:00,Pasadena,,91105: Pasadena,340,,-118.167933,34.139851,11907,1/10/2021 18:19:43
12/13/2020 0:00:00,Pasadena,,91105: Pasadena,339,,-118.167933,34.139851,11907,1/10/2021 18:19:43
12/12/2020 0:00:00,Pasadena,,91105: Pasadena,338,,-118.167933,34.139851,11907,1/10/2021 18:19:43
12/11/2020 0:00:00,Pasadena,,91105: Pasadena,334,,-118.167933,34.139851,11907,1/10/2021 18:19:43
12/10/2020 0:00:00,Pasadena,,91105: Pasadena,329,,-118.167933,34.139851,11907,1/10/2021 18:19:43
12/9/2020 0:00:00,Pasadena,,91105: Pasadena,325,,-118.167933,34.139851,11907,1/10/2021 18:19:43
12/7/2020 0:00:00,Pasadena,,91105: Pasadena,312,,-118.167933,34.139851,11907,1/10/2021 18:19:43
12/6/2020 0:00:00,Pasadena,,91105: Pasadena,312,,-118.167933,34.139851,11907,1/10/2021 18:19:43
1/11/2021 0:00:00,Pasadena,,91105: Pasadena,555,,-118.167933,34.139851,11907,1/12/2021 10:01:19
1/12/2021 0:00:00,Pasadena,,91105: Pasadena,570,,-118.167933,34.139851,11907,1/13/2021 10:01:29
1/13/2021 0:00:00,Pasadena,,91105: Pasadena,573,,-118.167933,34.139851,11907,1/14/2021 10:01:24
1/14/2021 0:00:00,Pasadena,,91105: Pasadena,579,,-118.167933,34.139851,11907,1/15/2021 10:01:12
1/15/2021 0:00:00,Pasadena,,91105: Pasadena,587,,-118.167933,34.139851,11907,1/16/2021 10:01:24
1/16/2021 0:00:00,Pasadena,,91105: Pasadena,588,,-118.167933,34.139851,11907,1/17/2021 10:01:21
1/17/2021 0:00:00,Pasadena,,91105: Pasadena,590,,-118.167933,34.139851,11907,1/18/2021 10:01:21
1/18/2021 0:00:00,Pasadena,,91105: Pasadena,596,,-118.167933,34.139851,11907,1/19/2021 10:01:20
1/19/2021 0:00:00,Pasadena,,91105: Pasadena,596,,-118.167933,34.139851,11907,1/20/2021 10:01:34
1/20/2021 0:00:00,Pasadena,,91105: Pasadena,598,,-118.167933,34.139851,11907,1/21/2021 10:01:34
1/22/2021 0:00:00,Pasadena,,91105: Pasadena,603,,-118.167933,34.139851,11907,1/23/2021 10:01:07
1/23/2021 0:00:00,Pasadena,,91105: Pasadena,609,,-118.167933,34.139851,11907,1/24/2021 10:01:23
